record_id,conversion_fraud
1000,True
1001,True
1002,True
1003,False
1004,True
1005,True
1006,False
1007,True
1008,False
1009,True
1010,True
1011,False
1012,True
1013,False
1014,True
1015,True
1016,False
1017,False
1018,True
1019,True
1020,False
1021,False
1022,False
1023,False
1024,False
1025,False
1026,False
1027,False
1028,True
1029,True
1030,True
1031,True
1032,False
1033,True
1034,True
1035,True
1036,False
1037,False
1038,True
1039,False
1040,True
1041,True
1042,True
1043,False
1044,False
1045,False
1046,False
1047,False
1048,False
1049,False
1050,False
1051,False
1052,False
1053,False
1054,False
1055,True
1056,True
1057,False
1058,False
1059,False
1060,False
1061,False
1062,False
1063,False
1064,True
1065,False
1066,False
1067,True
1068,False
1069,False
1070,False
1071,False
1072,False
1073,False
1074,False
1075,False
1076,True
1077,True
1078,False
1079,False
1080,False
1081,False
1082,False
1083,True
1084,True
1085,False
1086,False
1087,True
1088,True
1089,False
1090,False
1091,True
1092,True
1093,True
1094,False
1095,True
1096,False
1097,False
1098,False
1099,False
1100,False
1101,False
1102,False
1103,True
1104,False
1105,True
1106,False
1107,False
1108,False
1109,False
1110,True
1111,True
1112,False
1113,True
1114,True
1115,False
1116,True
1117,False
1118,True
1119,False
1120,True
1121,False
1122,True
1123,True
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,False
1134,True
1135,True
1136,False
1137,True
1138,False
1139,True
1140,False
1141,True
1142,False
1143,False
1144,False
1145,True
1146,False
1147,False
1148,False
1149,True
1150,False
1151,False
1152,True
1153,True
1154,False
1155,False
1156,False
1157,True
1158,False
1159,False
1160,False
1161,False
1162,True
1163,False
1164,False
1165,False
1166,False
1167,False
1168,False
1169,False
1170,False
1171,False
1172,False
1173,True
1174,True
1175,False
1176,False
1177,True
1178,True
1179,False
1180,False
1181,False
1182,True
1183,False
1184,False
1185,False
1186,True
1187,False
1188,False
1189,False
1190,True
1191,True
1192,True
1193,False
1194,True
1195,False
1196,True
1197,False
1198,True
1199,False
1200,True
1201,False
1202,False
1203,True
1204,False
1205,False
1206,False
1207,False
1208,False
1209,False
1210,True
1211,False
1212,False
1213,True
1214,False
1215,False
1216,False
1217,False
1218,False
1219,False
1220,False
1221,True
1222,True
1223,True
1224,False
1225,False
1226,True
1227,False
1228,True
1229,False
1230,False
1231,False
1232,False
1233,True
1234,False
1235,False
1236,True
1237,False
1238,False
1239,True
1240,True
1241,False
1242,True
1243,False
1244,False
1245,False
1246,False
1247,False
1248,True
1249,True
1250,False
1251,True
1252,False
1253,False
1254,False
1255,True
1256,False
1257,True
1258,False
1259,True
1260,True
1261,True
1262,True
1263,False
1264,True
1265,True
1266,False
1267,True
1268,False
1269,False
1270,True
1271,False
1272,False
1273,False
1274,True
1275,False
1276,True
1277,True
1278,False
1279,False
1280,False
1281,False
1282,True
1283,False
1284,True
1285,True
1286,True
1287,False
1288,False
1289,False
1290,True
1291,True
1292,False
1293,True
1294,True
1295,False
1296,False
1297,False
1298,False
1299,False
1300,False
1301,True
1302,False
1303,True
1304,False
1305,False
1306,True
1307,True
1308,False
1309,True
1310,False
1311,False
1312,True
1313,False
1314,True
1315,False
1316,False
1317,False
1318,False
1319,False
1320,True
1321,True
1322,False
1323,False
1324,False
1325,True
1326,False
1327,False
1328,True
1329,False
1330,False
1331,False
1332,False
1333,False
1334,False
1335,True
1336,True
1337,True
1338,False
1339,False
1340,False
1341,False
1342,False
1343,False
1344,False
1345,False
1346,False
1347,True
1348,False
1349,True
1350,False
1351,False
1352,True
1353,False
1354,True
1355,False
1356,True
1357,False
1358,False
1359,False
1360,True
1361,False
1362,False
1363,False
1364,False
1365,True
1366,False
1367,True
1368,False
1369,False
1370,True
1371,False
1372,False
1373,True
1374,False
1375,False
1376,False
1377,False
1378,True
1379,True
1380,False
1381,True
1382,False
1383,False
1384,False
1385,False
1386,False
1387,False
1388,False
1389,False
1390,True
1391,False
1392,False
1393,False
1394,False
1395,False
1396,False
1397,False
1398,False
1399,False
1400,True
1401,False
1402,False
1403,False
1404,True
1405,False
1406,True
1407,False
1408,False
1409,False
1410,False
1411,False
1412,True
1413,False
1414,False
1415,True
1416,False
1417,False
1418,True
1419,True
1420,False
1421,False
1422,False
1423,True
1424,False
1425,False
1426,False
1427,False
1428,False
1429,True
1430,True
1431,False
1432,False
1433,False
1434,False
1435,False
1436,True
1437,False
1438,True
1439,True
1440,False
1441,False
1442,False
1443,False
1444,True
1445,False
1446,False
1447,False
1448,False
1449,True
1450,True
1451,False
1452,False
1453,False
1454,True
